"Cambridge, Massachusetts",5,"My girlfriend and I recently had dinner at Select Oyster - the food and service were both incredible. We especially liked the salmon crudo, raw oyster selection, octopus salad, and swordfish entree. Our server was incredibly friendly and helpful. Cocktails were delicious. Venue can be a bit loud (especially the back porch), and the meal was quite pricey. Though, overall,...More  "
"Las Vegas, Nevada, United States",5,"Stopped here in a Friday night to try fresh seafood dishes that were not traditional chowder/fried clams. Everything was superb, from a scallop ceviche that was bright with a hint of citrus, a varied oyster selection that was of absolute top quality, and an arctic char main dish with a pistachio oil that was one of a kind. I am...More  "
Tarzana,1,"Select Oyster bar pretends to be an upscale establishment.However, they everything but upscale.They require a credit card number in order to secure e reservation which I provided.However, when we arrived I was told the wait is 25-30 minutes.The place wasn't air-conditioned and very stuffy, very crowded, very primitive furniture, no decor and extremely noisy.Oysters aren't...More  "
"San Francisco, California",5,This is a very nice casual place with excellent service and food. I had crudo and a lobster salad. Both were delicious. Lobster salad had extremely fresh farm-to-table ingredients and generous amount of lobster. Delicious. The only strange thing they do not serve any coffee or deserts.. Chefs policy.. but that would not stop me from coming back.
"Los Angeles, California",5,Fantastic dinner at the bar served by Gina. Oysters were as good as expected but it is the other dishes that blew us away. Best octopus dish ever. And that's a lot of octopus dish to beat! Chorizo clams outstanding.
"San Francisco, California",5,"Though expensive, everything we ordered from raw oysters & clams to the main courses were exceptionally fresh and flavorful, as well as creative. I had the best Spanish octopus! Though not a place where you can easily have a conversation, I highly recommend this to get probably the best fresh seafood in Boston."
"Newton, Massachusetts",1,"We had booked on open table and had mentioned in the comment section that it was my birthday. We were given seats at the bar. My husband said it was a birthday, we did not feel like being crushed or bumped at the bar. This is a very small restaurant. The wait staff have a narrow thouroughfare to get to...More  "
"London, United Kingdom",5,"Sat at the bar in this busy, attractive oyster and seafood restaurant. The bartender was especially knowledgeable and attentive, the menu was great, and the service and food were excellent."
Maine,3,"We had read and heard how wonderful this neighborhood ""place"" was, so of course with reservation is hand we went. 2 of us at a table for almost one person, BUT that was better than a communal high top or the bar, those are the choices, Not great! we ordered wine which was overpriced for the amount served, but ok....More  "
"New York City, New York",5,I've been here three times in the last six months. Best seafood in Boston. Everything is fresh and creatively prepared. Also reasonably priced. The black bass crudo is outstanding. The scallop ceviche refreshing. The octopus is delicious and comes with nice snap peas and tomatillo. The mussels and clams are both very good and bountiful. The prawns are one of...More  
New York,5,As Boston's 'Best Restaurant of 2015' the Select doesn't need another glowing review. The seafood was fresh and delicious and nothing on the menu or the excellent 'by the glass' wine list is going to disappoint. A few notes: Select is very small and even a reservation may only garner you a seat at the bar. The restaurant offers no...More  
"Boston, Massachusetts",5,"Had another fantastic dining experience at Select this past weekend. We sat at the bar at around 6 on Saturday of Patriots' Day Weekend. (Yes, that's Boston Marathon weekend, and the restaurant is about half a block from the marathon course.) Boylston Street and the surrounding areas were bustling, and although there were some empty seats when we arrived, they...More  "
"Boston, Massachusetts",3,"Let's give credit where credit is due: The food was absolutely delicious. We had the octopus, clams, mussels, and oysters. The prices are definitely too high for this restaurant though. The average plate is $30, with the fish being $29 and the steak as high as 50-something. It's a small restaurant in the back bay with no valet parking and...More  "
